Feature,Importance
Growth_Rate_7,0.6167210380351332
Sales_Lag_7,0.30534478086976874
Rolling_Avg_7,0.04574944822381882
Rolling_Avg_14,0.01993539420434528
Rolling_Avg_30,0.010018979166457316
Day_Encoded,0.0010697404339544184
Is_Weekend_Encoded,0.000674778785327163
Sales_Lag_30,0.0001309078585063077
Sales_Lag_14,8.897673798660749e-05
Humidity,7.180859384683674e-05
Temperature_Avg,5.3842610566410226e-05
Week_of_Year,4.5076721861003725e-05
Rainfall,3.647465356520325e-05
Month,2.850054918406675e-05
Category_Encoded,2.444622361971382e-05
Season_Encoded,5.806332058820754e-06
